East,North,Lat,Lon,GW
582655,3874137,35.00907618,24.90750732,32
582655,3874137,35.00907618,24.90750732,6
577094,3874152,35.00965176,24.84656778,0.5
631190.9,3874153.9,35.00408714,25.43932881,243
627488.869,3874155.494,35.00457571,25.39877004,140
593746,3874176,35.00845827,25.0290497,9
595437,3874182,35.00835385,25.04758035,48
587361,3874186,35.00912145,24.95908272,35.19
590501.98,3874198.25,35.00895505,24.99350379,25
586883,3874199,35.00927994,24.95384598,32.3
597429.628,3874202.285,35.00834632,25.06941776,40
588008,3874216,35.0093357,24.96617594,20
586694,3874224,35.0095216,24.95177745,30
590814,3874242,35.00932146,24.99692776,25
594877,3874249,35.00901072,25.04145155,35
596771,3874249,35.00883087,25.06220603,55
587619,3874253,35.00970316,24.96191704,5
591401,3874269,35.00951189,25.00336322,35
591148,3874271,35.00955281,25.000591,24
630288,3874275,35.00529571,25.42945583,15
586821,3874277,35.00998853,24.95317472,3
593409,3874286,35.00948127,25.02536922,40
630811.6,3874287.6,35.00534159,25.43519434,171.2
605164,3874291.1,35.00837074,25.15417969,5
630294.5,3874297.2,35.00549499,25.42953052,64
595474,3874305,35.0094593,25.04799994,80
597855,3874311,35.00928532,25.07409174,52
634407.7,3874313.2,35.00510009,25.47459669,84.77
585954,3874321,35.01045948,24.94367825,12
571452,3874324,35.01161809,24.7847526,33
588426,3874324,35.0102729,24.97076804,20
585954,3874328,35.0105226,24.94367897,12
583754.44,3874333.85,35.01076035,24.91957538,70
587776,3874336,35.01043785,24.96364629,8
590340,3874337,35.01022054,24.99174388,3
629813.7,3874338,35.00592472,25.42426925,304
587624,3874341,35.01049614,24.96198113,12
582312.68,3874356.86,35.01108649,24.9037778,3
590906,3874360,35.01037707,24.99794884,12
590905,3874363,35.01040421,24.99793821,15
586872,3874368,35.01080461,24.95374313,4
593869,3874369,35.01018691,25.03041936,25
585561,3874370,35.01093468,24.93937657,20
578695.7,3874377.2,35.01155855,24.86414173,14
586745,3874389,35.01100488,24.95235358,2
615868,3874393,35.00811741,25.27148033,4
589505.5,3874399.7,35.01086022,24.98260584,3
580677,3874402,35.01162563,24.88585706,200
582591,3874408,35.01152483,24.90683294,100
582591,3874408,35.01152483,24.90683294,17.32
590924,3874412,35.01084428,24.99815179,38.3
637110.91,3874414.17,35.00564683,25.50422869,1
590913,3874416,35.01088134,24.99803168,13
604116,3874422,35.00965953,25.14271255,25
611498.8,3874430.9,35.00895117,25.22361128,96
581834,3874444,35.01191112,24.89854064,97.13
603525.54,3874444.32,35.00992151,25.13624519,30
596116,3874448,35.01068763,25.05505159,45
609092,3874448,35.00936834,25.19724117,78
586954,3874450,35.01153687,24.95465032,4
590931,3874451,35.01119528,24.99823277,13.3
590931,3874451,35.01119528,24.99823277,4
590931,3874451,35.01119528,24.99823277,32
590931,3874451,35.01119528,24.99823277,3
598070,3874454,35.01055371,25.07646459,25
664576,3874458,35.0019399,25.80510559,6.5
664576,3874458,35.0019399,25.80510559,6.5
610569,3874461,35.00932482,25.2134271,114.5
610569,3874461,35.00932482,25.2134271,114.5
590795,3874462,35.0113067,24.99674361,10
626920.27,3874471.17,35.00749308,25.39258868,43
583330,3874487,35.01217634,24.91493944,5
594585.2,3874511.4,35.01140389,25.03828388,80
590958,3874520,35.01181495,24.99853621,2
590929.9,3874521,35.0118265,24.99822838,8
595220,3874522,35.01143975,25.04524147,45
590850.61,3874537.17,35.01197943,24.99736124,2
628465.23,3874542.24,35.00793835,25.40952684,225
591276,3874543,35.0119936,25.00202356,60
590763,3874546,35.01206693,24.99640213,20
575069,3874557,35.01345617,24.82441283,4
664470,3874557,35.00284944,25.80396411,8.3
664470,3874557,35.00284944,25.80396411,8.3
597520,3874559,35.01155367,25.07044994,32
609376,3874559,35.01033832,25.20036773,102.2
601563,3874566,35.01121795,25.11475477,3.5
590627,3874576,35.01234963,24.99491503,2
601645,3874584,35.01137198,25.11565554,5
661965.61,3874587.56,35.00352955,25.77653768,3
597096,3874589,35.01186504,25.06580713,35
601905,3874593,35.0114269,25.11850575,9
586425,3874598,35.01291672,24.94886858,6
591416,3874598,35.0124768,25.00356382,34.3
593950,3874598,35.01224402,25.0313329,6
587756,3874603,35.01284689,24.96345535,45
636298.6,3874606.1,35.00748693,25.49536078,86
664586,3874607,35.00328119,25.80524463,4
610079,3874608,35.01070364,25.20807743,55
584132.69,3874622.95,35.01333547,24.92374981,170
587845,3874642,35.01319078,24.96443482,42
598912,3874642,35.01216649,25.08571373,42
592011,3874649,35.01288253,25.01008987,9
592011,3874649,35.01288253,25.01008987,47
632492.1,3874651.6,35.00840376,25.45366375,304.73
599890,3874652,35.0121603,25.09643215,9
629837.8,3874655.4,35.00878286,25.4245829,20.2
636606,3874658.4,35.00791683,25.49873723,209.1
633576.8,3874661,35.00834557,25.46554948,392.5
664460,3874672,35.00388756,25.80387733,8.2
582039,3874674,35.01396821,24.90080995,140
635572,3874676,35.00821485,25.48741158,3
594098.26,3874696.24,35.01311593,25.03296874,2.5
586191,3874706,35.01391049,24.94631541,6
601582,3874713,35.01254135,25.11498096,2
